# api_shortname, googleapis-folder, distribution_name:version, googleapis_committish
ids, google/cloud/ids, com.google.cloud:google-cloud-ids:1.6.0, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55
cloudiot, google/cloud/iot, com.google.cloud:google-cloud-iot:2.7.0, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55
cloudkms, google/cloud/kms, com.google.cloud:google-cloud-kms:2.10.0, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55
language, google/cloud/language, com.google.cloud:google-cloud-language:2.8.0, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55
managedidentities, google/cloud/managedidentities, com.google.cloud:google-cloud-managed-identities:1.5.0, 1b222777baa702e7135610355706570ed2b56318
memcache, google/cloud/memcache, com.google.cloud:google-cloud-memcache:2.7.0, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55
monitoring, google/monitoring, com.google.cloud:google-cloud-monitoring:3.8.0, 
monitoring-dashboards, google/monitoring/dashboard, com.google.cloud:google-cloud-monitoring-dashboard:2.9.0, 807125e7953e32535710924fe4bf0362ac93754d
networkconnectivity, google/cloud/networkconnectivity, com.google.cloud:google-cloud-networkconnectivity:1.6.0, 016f3a2c5f2c05908cc9d41fbf12525239a16758
networkmanagement, google/cloud/networkmanagement, com.google.cloud:google-cloud-network-management:1.8.0, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55
notebooks, google/cloud/notebooks, com.google.cloud:google-cloud-notebooks:1.5.0, 1d21a86868139db06481cc2d2a6e8e2dc8f1800a
cloudoptimization, google/cloud/optimization, com.google.cloud:google-cloud-optimization:1.5.0, 16db2fb7fab4668bdfa09966513e03581d8f5e35
orchestration-airflow, google/cloud/orchestration/airflow/service, com.google.cloud:google-cloud-orchestration-airflow:1.7.0, 34eb8f1662a226c9cc6640066111ca2d3014f30d
orgpolicy, google/cloud/orgpolicy, com.google.cloud:google-cloud-orgpolicy:2.7.0, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55
osconfig, google/cloud/osconfig, com.google.cloud:google-cloud-os-config:2.9.0, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55
oslogin, google/cloud/oslogin, com.google.cloud:google-cloud-os-login:2.6.0, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55
policytroubleshooter, google/cloud/policytroubleshooter, com.google.cloud:google-cloud-policy-troubleshooter:1.6.0, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55
cloudprofiler, google/devtools/cloudprofiler, com.google.cloud:google-cloud-profiler:2.7.0, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55
recaptchaenterprise, google/cloud/recaptchaenterprise, com.google.cloud:google-cloud-recaptchaenterprise:3.4.0, c9560d8f8f535936baff1fcda1f12806e38f67b9
recommender, google/cloud/recommender, com.google.cloud:google-cloud-recommender:2.9.0, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55
