# api_shortname, distribution_name:version, library_type, transport, group_id, release_level
domains, com.google.cloud:google-cloud-domains:1.2.0, GAPIC_AUTO, grpc, com.google.cloud, stable
essentialcontacts, com.google.cloud:google-cloud-essential-contacts:2.5.0, GAPIC_AUTO, grpc, com.google.cloud, stable
eventarc, com.google.cloud:google-cloud-eventarc:1.5.0, GAPIC_AUTO, grpc, com.google.cloud, stable
file, com.google.cloud:google-cloud-filestore:1.6.0, GAPIC_AUTO, grpc, com.google.cloud, stable
cloudfunctions, com.google.cloud:google-cloud-functions:2.7.0, GAPIC_AUTO, grpc, com.google.cloud, stable
gameservices, com.google.cloud:google-cloud-game-servers:2.5.0, GAPIC_AUTO, grpc, com.google.cloud, stable
gkehub, com.google.cloud:google-cloud-gkehub:1.5.0, GAPIC_AUTO, grpc, com.google.cloud, stable
gsuiteaddons, com.google.cloud:google-cloud-gsuite-addons:2.5.0, GAPIC_AUTO, grpc, com.google.cloud, stable
iam-admin, com.google.cloud:google-iam-admin:3.0.0, GAPIC_AUTO, grpc, com.google.cloud, stable
iamcredentials, com.google.cloud:google-cloud-iamcredentials:2.5.0, GAPIC_AUTO, grpc, com.google.cloud, stable
ids, com.google.cloud:google-cloud-ids:1.4.0, GAPIC_AUTO, grpc, com.google.cloud, stable
cloudiot, com.google.cloud:google-cloud-iot:2.5.0, GAPIC_AUTO, grpc, com.google.cloud, stable
cloudkms, com.google.cloud:google-cloud-kms:2.8.0, GAPIC_AUTO, grpc, com.google.cloud, stable
language, com.google.cloud:google-cloud-language:2.6.0, GAPIC_AUTO, grpc, com.google.cloud, stable
managedidentities, com.google.cloud:google-cloud-managed-identities:1.3.0, GAPIC_AUTO, grpc, com.google.cloud, stable
memcache, com.google.cloud:google-cloud-memcache:2.5.0, GAPIC_AUTO, grpc, com.google.cloud, stable
monitoring, com.google.cloud:google-cloud-monitoring:3.6.0, GAPIC_AUTO, grpc, com.google.cloud, stable
monitoring-dashboards, com.google.cloud:google-cloud-monitoring-dashboard:2.7.0, GAPIC_AUTO, grpc, com.google.cloud, stable
networkconnectivity, com.google.cloud:google-cloud-networkconnectivity:1.4.0, GAPIC_AUTO, grpc, com.google.cloud, stable
networkmanagement, com.google.cloud:google-cloud-network-management:1.6.0, GAPIC_AUTO, grpc, com.google.cloud, stable
notebooks, com.google.cloud:google-cloud-notebooks:1.3.0, GAPIC_AUTO, grpc, com.google.cloud, stable
cloudoptimization, com.google.cloud:google-cloud-optimization:1.3.0, GAPIC_AUTO, grpc, com.google.cloud, stable
orchestration-airflow, com.google.cloud:google-cloud-orchestration-airflow:1.5.0, GAPIC_AUTO, grpc, com.google.cloud, stable
orgpolicy, com.google.cloud:google-cloud-orgpolicy:2.5.0, GAPIC_AUTO, grpc, com.google.cloud, stable
osconfig, com.google.cloud:google-cloud-os-config:2.7.0, GAPIC_AUTO, grpc, com.google.cloud, stable
oslogin, com.google.cloud:google-cloud-os-login:2.4.0, GAPIC_AUTO, grpc, com.google.cloud, stable
policytroubleshooter, com.google.cloud:google-cloud-policy-troubleshooter:1.4.0, GAPIC_AUTO, grpc, com.google.cloud, stable
cloudprofiler, com.google.cloud:google-cloud-profiler:2.5.0, GAPIC_AUTO, grpc, com.google.cloud, stable
recaptchaenterprise, com.google.cloud:google-cloud-recaptchaenterprise:3.2.0, GAPIC_AUTO, grpc, com.google.cloud, stable
